   date	 | value
2000-01-03 | 3
2008-01-03 | 3
2009-01-01 | 3
2011-02-29 | 3
2013-02-29 | 3
2100-02-29 | 3
2001-42-42
2010-01-01 | -1
2010-01-01 | 1111
2010-01-01 | 1111222222222222222222222222222222222
2010-01-01 |           
2010-01-01 | a++3.01  
2010-01-01 | +
2010-01-01
2011-01-03 | 1e4
2011-01-03 | 1.0e3
2011-01-03 | 1.0e-3 | 3.01  33333   		
2012-01-11 | -1
2011-01-03 | -1.5
InvalidLineWithoutSeparator
2012-01-11 | 2147483648
2011-01-03 | -1
2011-01-03 | 1000.01
2011-01-03 | abc
2011-01-03 |
2011-01-03
| 100
2011-13-01 | 100
2011-00-01 | 100
2011-01-32 | 100
2011-01-00 | 100
2011-02-29 | 100
2011-1-3   | 100
2011-01-03 | 1,000
2011-01-03 | 1e4
                

2011-01-03 |    0.
2011-01-03 |    0.0
2011-01-03 | -0
2010-01-01 | +1
2010-01-01 | 0
2009-01-02	| 	3
2010-01-01	| 	3
2011-01-03 | 1
2011-01-03 | 	2
2011-01-03	| 	3
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | 1
2012-02-29	| 	3
2400-02-29	| 	3
2011-01-03 | 0
2011-01-03 | 1000
2011-01-03 | 1e3
2012-02-29 | 100
2025-01-01 | 5
2009-01-02 | 100
2009-01-02 | 100      
2009-01-02 | 100
2011-01-03 | 1.5
2011-01-03 | 999.999
2011-01-03 | 0.0001
2011-01-03 | +100
